Mineral name,Chemical formula,Subgroup,Group,Machine readable formula, Elemental wt%,Oxide wt%
cuprite,Cu2O,nan,oxide,"[['Cu', 2, 1], ['O', 1, -2]]","{'Cu': 88.82, 'O': 11.18}",{'Cu2O': 100.00}
maohokite,MgFe2O4,nan,oxide,"[['Mg', 1, 2], ['Fe', 2, 3], ['O', 4, -2]]","{'Mg': 12.15, 'Fe': 55.85, 'O': 32.0}","{'MgO': 20, 'Fe2O3':80}"
oboniobite*,Mg4Nb2O9,nan,oxide,"[['Mg', 4, 2], ['Nb', 2, 5], ['O', 9, -2]]","{'Mg': 22.77, 'Nb': 43.51, 'O': 33.72}","{'MgO': 37.76, 'Fe2O3':62.24}"
machiite,Al2Ti3O9,nan,oxide,"[['Al', 2, 3], ['Ti', 3, 4], ['O', 9, -2]]","{'Al': 15.8, 'Ti': 42.04, 'O': 42.16}","{'TiO2': 70.14, 'Al2O3':29.85}"
wüstite,FeO,periclase group,oxide,"[['Fe', 1, 2], ['O', 1, -2]]","{'Fe': 77.73, 'O': 22.27}",{'FeO': 100.00}
periclase,MgO,periclase group,oxide,"[['Mg', 1, 2], ['O', 1, -2]]","{'Mg': 60.3, 'O': 39.7}",{'MgO': 100.00}
manganosite,MnO,periclase group,oxide,"[['Mn', 1, 2], ['O', 1, -2]]","{'Mn': 77.45, 'O': 22.55}",{'MnO': 100.00}
perovskite,CaTiO3,perovskite group,oxide,"[['Ca', 1, 2], ['Ti', 1, 4], ['O', 3, -2]]","{'Ca': 29.48, 'Ti': 35.21, 'O': 35.31}","{'CaO': 41.25, 'TiO2':58.75}"
lueshite,NaNbO3,perovskite group,oxide,"[['Na', 1, 1], ['Nb', 1, 5], ['O', 3, -2]]","{'Na': 14.03, 'Nb': 56.69, 'O': 29.29}","{'Na2O': 18.91, 'Nb2O5':81.09}"
tausonite,SrTiO3,perovskite group,oxide,"[['Sr', 1, 2], ['Ti', 1, 4], ['O', 3, -2]]","{'Sr': 47.75, 'Ti': 26.09, 'O': 26.16}","{'SrO': 56.47, 'TiO2':43.53}"
macedonite,PbTiO3,perovskite group,oxide,"[['Pb', 1, 2], ['Ti', 1, 4], ['O', 3, -2]]","{'Pb': 68.37, 'Ti': 15.79, 'O': 15.84}","{'PbO': 73.64, 'TiO2':26.36}"
